Scale For Width: 0.521921
Scale For Height: 0.521921
Image Width (Pixels): 2584
Image Height (Pixels): 1936
Tile_Number,X_Origin,Y_Origin
0,56479.8,47424.3
1,57120.3,47424.3
2,57761,47424.3
3,58401.5,47424.3
4,59042.3,47424.3
5,59682.8,47424.3
6,59682.8,47904.3
7,59042.3,47904.3
8,58401.5,47904.3
9,57761,47904.3
10,57120.3,47904.3
11,56479.8,47904.3
12,56479.8,48384.3
13,57120.3,48384.3
14,57761,48384.3
15,58401.5,48384.3
16,59042.3,48384.3
17,59682.8,48384.3
18,59682.8,48864.3
19,59042.3,48864.3
20,58401.5,48864.3
21,57761,48864.3
22,57120.3,48864.3
23,56479.8,48864.3
24,56479.8,49344.3
25,57120.3,49344.3
26,57761,49344.3
27,58401.5,49344.3
28,59042.3,49344.3
29,59682.8,49344.3
30,59682.8,49824.3
31,59042.3,49824.3
32,58401.5,49824.3
33,57761,49824.3
34,57120.3,49824.3
35,56479.8,49824.3
